"","title","YearPub","pmid","abstract"
"588","Effect of dairy matrices on the survival of Streptococcus thermophilus, Brevibacterium aurantiacum and Hafnia alvei during digestion.",2017,"28873711","This study evaluated the ability of dairy matrices, different in composition (with and without fat) and structure (liquid and gel), to enhance microorganisms survival through digestion. The viability of three dairy microorganisms Streptococcus thermophilus, Brevibacterium aurantiacum and Hafnia alvei was measured during in vitro and in vivo digestion. S. thermophilus was highly sensitive to gastric stress, and was not found in the duodenal compartment. B. auranticum was moderately sensitive to gastric stress but resistant to duodenal stress. H. alvei was highly resistant to both stresses. LIVE/DEAD confocal microscopy's images, probed the effect of low pH on microorganisms survival. However, in vivo analyses (16S rRNA gene metabarcoding) failed to confirm in vitro observations since tested microorganisms were not detected. Despite of the different evolutions during digestion on buffer capacity, lipolysis, and rheological characteristics, we did not observe any protective effect of the dairy matrices on microorganisms survival."
"589","DNA in a bottle-Rapid metabarcoding survey for early alerts of invasive species in ports.",2017,"28873426","Biota monitoring in ports is increasingly needed for biosecurity reasons and safeguarding marine biodiversity from biological invasion. Present and future international biosecurity directives can be accomplished only if the biota acquired by maritime traffic in ports is controlled. Methodologies for biota inventory are diverse and now rely principally on extensive and labor-intensive sampling along with taxonomic identification by experts. In this study, we employed an extremely simplified environmental DNA (eDNA) sampling methodology from only three 1-L bottles of water per port, followed by metabarcoding (high-throughput sequencing and DNA-based species identification) using 18S rDNA and Cytochrome oxidase I as genetic barcodes. Eight Bay of Biscay ports with available inventory of fouling invertebrates were employed as a case study. Despite minimal sampling efforts, three invasive invertebrates were detected: the barnacle Austrominius modestus, the tubeworm Ficopomatus enigmaticus and the polychaete Polydora triglanda. The same species have been previously found from visual and DNA barcoding (genetic identification of individuals) surveys in the same ports. The current costs of visual surveys, conventional DNA barcoding and this simplified metabarcoding protocol were compared. The results encourage the use of metabarcoding for early biosecurity alerts."
"590","Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen.",2017,"28854210","The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes."
"591","Spatiotemporal Variation and Networks in the Mycobiome of the Wheat Canopy.",2017,"28824687","The phyllosphere is an important habitat for a diverse microbiome and an important entry point for many pathogens. Factors that shape the phyllosphere microbiome and also the co-existence among members and how they affect disease development are largely understudied. In this study we examined the wheat mycobiome by using metabarcoding of the fungal ITS1 region. Leaf samples were taken from four cultivars grown at two locations in Denmark. Samples were taken from the three uppermost leaves and at three growth stages to better understand spatiotemporal variation of the mycobiome. Analysis of read abundances showed that geographical location had a major effect in shaping the mycobiome in the total dataset, but also leaf position, growth stage and cultivar were important drivers of fungal communities. Cultivar was most important in explaining variation in older leaves whereas location better explained the variation in younger leaves, suggesting that communities are shaped over time by the leaf environment. Network analysis revealed negative co-existence between Zymoseptoria tritici and the yeasts Sporobolomyces, Dioszegia, and Cystofilobasidiaceae. The relative abundance of Z. tritici and the yeasts was relatively constant between individual samples, suggesting that fast growing fungi rapidly occupy empty space in the phyllosphere."
"592","Differences in Temperature and Water Chemistry Shape Distinct Diversity Patterns in Thermophilic Microbial Communities.",2017,"28821552","This report describes the biodiversity and ecology of microbial mats developed in thermal gradients (20 to 65°C) in the surroundings of three drillings (Chiraleu [CH], Ciocaia [CI], and Mihai Bravu [MB]) tapping a hyperthermal aquifer in Romania. Using a metabarcoding approach, 16S rRNA genes were sequenced from both DNA and RNA transcripts (cDNA) and compared. The relationships between the microbial diversity and the physicochemical factors were explored. Additionally, the cDNA data were used for in silico functionality predictions, bringing new insights into the functional potential and dynamics of these communities. The results showed that each hot spring determined the formation of distinct microbial communities. In the CH mats (40 to 53°C), the abundance of Cyanobacteria decreased with temperature, opposite to those of Chloroflexi and ProteobacteriaEctothiorhodospira, Oscillatoria, and methanogenic archaea dominated the CI communities (20 to 65°C), while the MB microbial mats (53 to 65°C) were mainly composed of Chloroflexi, Hydrogenophilus, Thermi, and Aquificae Alpha-diversity was negatively correlated with the increase in water temperature, while beta-diversity was shaped in each hot spring by the unique combination of physicochemical parameters, regardless of the type of nucleic acid analyzed (DNA versus cDNA). The rank correlation analysis revealed a unique model that associated environmental data with community composition, consisting in the combined effect of Na+, K+, HCO3-, and PO43- concentrations, together with temperature and electrical conductivity. These factors seem to determine the grouping of samples according to location, rather than with the similarities in thermal regimes, showing that other parameters beside temperature are significant drivers of biodiversity.IMPORTANCE Hot spring microbial mats represent a remarkable manifestation of life on Earth and have been intensively studied for decades. Moreover, as hot spring areas are isolated and have a limited exchange of organisms, nutrients, and energy with the surrounding environments, hot spring microbial communities can be used in model studies to elucidate the colonizing potential within extreme settings. Thus, they are of great importance in evolutionary biology, microbial ecology, and exobiology. In spite of all the efforts that have been made, the current understanding of the influence of temperature and water chemistry on the microbial community composition, diversity, and abundance in microbial mats is limited. In this study, the composition and diversity of microbial communities developed in thermal gradients in the vicinity of three hot springs from Romania were investigated, each having particular physicochemical characteristics. Our results expose new factors that could determine the formation of these ecosystems, expanding the current knowledge in this regard."
"593","Parasites dominate hyperdiverse soil protist communities in Neotropical rainforests.",2017,"28812652","High animal and plant richness in tropical rainforest communities has long intrigued naturalists. It is unknown if similar hyperdiversity patterns are reflected at the microbial scale with unicellular eukaryotes (protists). Here we show, using environmental metabarcoding of soil samples and a phylogeny-aware cleaning step, that protist communities in Neotropical rainforests are hyperdiverse and dominated by the parasitic Apicomplexa, which infect arthropods and other animals. These host-specific parasites potentially contribute to the high animal diversity in the forests by reducing population growth in a density-dependent manner. By contrast, too few operational taxonomic units (OTUs) of Oomycota were found to broadly drive high tropical tree diversity in a host-specific manner under the Janzen-Connell model. Extremely high OTU diversity and high heterogeneity between samples within the same forests suggest that protists, not arthropods, are the most diverse eukaryotes in tropical rainforests. Our data show that protists play a large role in tropical terrestrial ecosystems long viewed as being dominated by macroorganisms."
"594","Yeasts dominate soil fungal communities in three lowland Neotropical rainforests.",2017,"28799713","Forest soils typically harbour a vast diversity of fungi, but are usually dominated by filamentous (hyphae-forming) taxa. Compared to temperate and boreal forests, though, we have limited knowledge about the fungal diversity in tropical rainforest soils. Here we show, by environmental metabarcoding of soil samples collected in three Neotropical rainforests, that Yeasts dominate the fungal communities in terms of the number of sequencing reads and OTUs. These unicellular forms are commonly found in aquatic environments, and their hyperdiversity may be the result of frequent inundation combined with numerous aquatic microenvironments in these rainforests. Other fungi that are frequent in aquatic environments, such as the abundant Chytridiomycotina, were also detected. While there was low similarity in OTU composition within and between the three rainforests, the fungal communities in Central America were more similar to each other than the communities in South America, reflecting a general biogeographic pattern also seen in animals, plants and protists."
"595","Pearl Millet Genetic Traits Shape Rhizobacterial Diversity and Modulate Rhizosphere Aggregation.",2017,"28798755","Root exudation contributes to soil carbon allocation and also to microbial C and energy supply, which subsequently impacts soil aggregation around roots. Biologically-driven soil structural formation is an important driver of soil fertility. Plant genetic determinants of exudation and more generally of factors promoting rhizosphere soil aggregation are largely unknown. Here, we characterized rhizosphere aggregation in a panel of 86 pearl millet inbred lines using a ratio of root-adhering soil dry mass per root tissue dry mass (RAS/RT). This ratio showed significant variations between lines, with a roughly 2-fold amplitude between lowest and highest average values. For 9 lines with contrasting aggregation properties, we then compared the bacterial diversity and composition in root-adhering soil. Bacterial α-diversity metrics increased with the ""RAS/RT ratio."" Regarding taxonomic composition, the Rhizobiales were stimulated in lines showing high aggregation level whereas Bacillales were more abundant in lines with low ratio. 184 strains of cultivable exopolysaccharides-producing bacteria have been isolated from the rhizosphere of some lines, including members from Rhizobiales and Bacillales. However, at this stage, we could not find a correlation between abundance of EPS-producing species in bacterial communities and the ratio RAS/RT. These results illustrated the impact of cereals genetic trait variation on soil physical properties and microbial diversity. This opens the possibility of considering plant breeding to help management of soil carbon content and physical characteristics through carbon rhizodeposition in soil."
"596","The use of nemabiome metabarcoding to explore gastro-intestinal nematode species diversity and anthelmintic treatment effectiveness in beef calves.",2017,"28797791","Next-generation deep amplicon sequencing, or metabarcoding, has revolutionized the study of microbial communities in humans, animals and the environment. However, such approaches have yet to be applied to parasitic helminth communities. We recently described the first example of such a method - nemabiome sequencing - based on deep-amplicon sequencing of internal transcribed spacer 2 (ITS-2) rDNA, and validated its ability to quantitatively assess the species composition of cattle gastro-intestinal nematode (GIN) communities. Here, we present the first application of this approach to explore GIN species diversity and the impact of anthelmintic drug treatments. First, we investigated GIN species diversity in cow-calf beef cattle herds in several different regions, using coproculture derived L3s. A screen of 50 Canadian beef herds revealed parasite species diversity to be low overall. The majority of parasite communities were comprised of just two species; Ostertagia ostertagi and Cooperia oncophora. Cooperia punctata was present at much lower levels overall, but nevertheless comprised a substantive part of the parasite community of several herds in eastern Canada. In contrast, nemabiome sequencing revealed higher GIN species diversity in beef calves sampled from central/south-eastern USA and Sao Paulo State, Brazil. In these regions C. punctata predominated in most herds with Haemonchus placei predominating in a few cases. Ostertagia ostertagi and C. oncophora were relatively minor species in these regions in contrast to the Canadian herds. We also examined the impact of routine macrocyclic lactone pour-on treatments on GIN communities in the Canadian beef herds. Low treatment effectiveness was observed in many cases, and nemabiome sequencing revealed an overall increase in the proportion of Cooperia spp. relative to O. ostertagi post-treatment. This work demonstrates the power of nemabiome metabarcoding to provide a detailed picture of GIN parasite community structure in large sample sets and illustrates its potential use in research, diagnostics and surveillance."
"597","Vertical gradients in species richness and community composition across the twilight zone in the North Pacific Subtropical Gyre.",2017,"28792641","Although metazoan animals in the mesopelagic zone play critical roles in deep pelagic food webs and in the attenuation of carbon in midwaters, the diversity of these assemblages is not fully known. A metabarcoding survey of mesozooplankton diversity across the epipelagic, mesopelagic and upper bathypelagic zones (0-1500 m) in the North Pacific Subtropical Gyre revealed far higher estimates of species richness than expected given prior morphology-based studies in the region (4,024 OTUs, 10-fold increase), despite conservative bioinformatic processing. Operational taxonomic unit (OTU) richness of the full assemblage peaked at lower epipelagic-upper mesopelagic depths (100-300 m), with slight shoaling of maximal richness at night due to diel vertical migration, in contrast to expectations of a deep mesopelagic diversity maximum as reported for several plankton groups in early systematic and zoogeographic studies. Four distinct depth-stratified species assemblages were identified, with faunal transitions occurring at 100 m, 300 m and 500 m. Highest diversity occurred in the smallest zooplankton size fractions (0.2-0.5 mm), which had significantly lower % OTUs classified due to poor representation in reference databases, suggesting a deep reservoir of poorly understood diversity in the smallest metazoan animals. A diverse meroplankton assemblage also was detected (350 OTUs), including larvae of both shallow and deep living benthic species. Our results provide some of the first insights into the hidden diversity present in zooplankton assemblages in midwaters, and a molecular reappraisal of vertical gradients in species richness, depth distributions and community composition for the full zooplankton assemblage across the epipelagic, mesopelagic and upper bathypelagic zones."
"598","Season-Long Experimental Drought Alters Fungal Community Composition but Not Diversity in a Grassland Soil.",2018,"28785816","Using terrestrial model ecosystems (TMEs), we investigated how reduced moisture conditions impact soil fungal communities from a temperate grassland over the course of an entire season. Starting at about 65% of the soil's maximum water holding capacity (WHCmax), TME soils were adjusted to three moisture levels for 15 weeks: 70% WHCmax, approximating starting conditions, 50% WHCmax, and 30% WHCmax, representing reduced moisture conditions. Diversity and abundances of soil fungi at the start and at the end of the experiment were characterized using Illumina meta-barcoding. Community diversity at the end of the experiment did not differ between experimental moisture levels and was comparable to diversity measures from the field. However, fungal communities did change compositionally in both abundances and presence/absence of species. Analyzing class-level and individual contributions of fungi to these changes revealed that only a minor portion reacted significantly, indicating that most compositional change was likely driven by many consistent small-scale shifts in presence/absences or abundances. Together, our results show that prolonged reduction in soil moisture conditions will trigger compositional changes in soil fungal communities but not necessarily change overall diversity. We highlight the cumulative contribution of minor but consistent changes among community members, as opposed to significant responses of individual species. We also detected a strong general experimental effect on soil fungi that are moved from the field to experimental TMEs, suggesting the importance of acclimatization effects in these communities under laboratory conditions."
"599","Spatial and temporal variation of intertidal nematodes in the northern Gulf of Mexico after the Deepwater Horizon oil spill.",2017,"28781067","Nematodes are an abundant and diverse interstitial component of sedimentary habitats that have been reported to serve as important bioindicators. Though the 2010 Deepwater Horizon (DWH) disaster occurred 60 km offshore in the Gulf of Mexico (GOM) at a depth of 1525 m, oil rose to the surface and washed ashore, subjecting large segments of coastline in the northern GOM to contamination. Previous metabarcoding work shows intertidal nematode communities were negatively affected by the oil spill. Here we examine the subsequent recovery of nematode community structure at five sites along the Alabama coast over a two-year period. The latter part of the study (July 2011-July 2012) also included an examination of nematode vertical distribution in intertidal sediments. Results showed nematode composition within this region was more influenced by sample locality than time and depth. The five sampling sites were characterized by distinct nematode assemblages that varied by sampling dates. Nematode diversity decreased four months after the oil spill but increased after one year, returning to previous levels at all sites except Bayfront Park (BP). There was no significant difference among nematode assemblages in reference to vertical distribution. Although the composition of nematode assemblages changed, the feeding guilds they represented were not significantly different even though some variation was noted. Data from morphological observations integrated with metabarcoding data indicated similar spatial variation in nematode distribution patterns, indicating the potential of using these faster approaches to examine overall disturbance impact trends within communities. Heterogeneity of microhabitats in the intertidal zone indicates that future sampling and fine-scale studies of nematodes are needed to examine such anthropogenic effects."
"600","A from-benchtop-to-desktop workflow for validating HTS data and for taxonomic identification in diet metabarcoding studies.",2017,"28776936","The main objective of this work was to develop and validate a robust and reliable ""from-benchtop-to-desktop"" metabarcoding workflow to investigate the diet of invertebrate-eaters. We applied our workflow to faecal DNA samples of an invertebrate-eating fish species. A fragment of the cytochrome c oxidase I (COI) gene was amplified by combining two minibarcoding primer sets to maximize the taxonomic coverage. Amplicons were sequenced by an Illumina MiSeq platform. We developed a filtering approach based on a series of nonarbitrary thresholds established from control samples and from molecular replicates to address the elimination of cross-contamination, PCR/sequencing errors and mistagging artefacts. This resulted in a conservative and informative metabarcoding data set. We developed a taxonomic assignment procedure that combines different approaches and that allowed the identification of ~75% of invertebrate COI variants to the species level. Moreover, based on the diversity of the variants, we introduced a semiquantitative statistic in our diet study, the minimum number of individuals, which is based on the number of distinct variants in each sample. The metabarcoding approach described in this article may guide future diet studies that aim to produce robust data sets associated with a fine and accurate identification of prey items."
"601","ITS1 metabarcoding highlights low specificity of lichen mycobiomes at a local scale.",2017,"28771869","As self-supporting and long-living symbiotic structures, lichens provide a habitat for many other organisms beside the traditionally considered lichen symbionts-the myco- and the photobionts. The lichen-inhabiting fungi either develop diagnostic phenotypes or occur asymptomatically. Because the degree of specificity towards the lichen host is poorly known, we studied the diversity of these fungi among neighbouring lichens on rocks in an alpine habitat. Using a sequencing metabarcoding approach, we show that lichen mycobiomes clearly reflect the overlap of multiple ecological sets of taxa, which differ in their trophic association with lichen thalli. The lack of specificity to the lichen mycobiome is further supported by the lack of community structure observed using clustering and ordination methods. The communities encountered across samples largely result from the subsampling of a shared species pool, in which we identify three major ecological components: (i) a generalist environmental pool, (ii) a lichenicolous/endolichenic pool and (iii) a pool of transient species. These taxa majorly belong to the fungal classes Dothideomycetes, Eurotiomycetes and Tremellomycetes with close relatives in adjacent ecological niches. We found no significant evidence that the phenotypically recognized lichenicolous fungi influence the occurrence of the other asymptomatic fungi in the host thalli. We claim that lichens work as suboptimal habitats or as a complex spore and mycelium bank, which modulate and allow the regeneration of local fungal communities. By performing an approach that minimizes ambiguities in the taxonomic assignments of fungi, we present how lichen mycobiomes are also suitable targets for improving bioinformatic analyses of fungal metabarcoding."
"602","DNA metabarcoding for diet analysis and biodiversity: A case study using the endangered Australian sea lion (Neophoca cinerea).",2017,"28770080","The analysis of apex predator diet has the ability to deliver valuable insights into ecosystem health, and the potential impacts a predator might have on commercially relevant species. The Australian sea lion (Neophoca cinerea) is an endemic apex predator and one of the world's most endangered pinnipeds. Given that prey availability is vital to the survival of top predators, this study set out to understand what dietary information DNA metabarcoding could yield from 36 sea lion scats collected across 1,500 km of its distribution in southwest Western Australia. A combination of PCR assays were designed to target a variety of potential sea lion prey, including mammals, fish, crustaceans, cephalopods, and birds. Over 1.2 million metabarcodes identified six classes from three phyla, together representing over 80 taxa. The results confirm that the Australian sea lion is a wide-ranging opportunistic predator that consumes an array of mainly demersal fauna. Further, the important commercial species Sepioteuthis australis (southern calamari squid) and Panulirus cygnus (western rock lobster) were detected, but were present in <25% of samples. Some of the taxa identified, such as fish, sharks and rays, clarify previous knowledge of sea lion prey, and some, such as eel taxa and two gastropod species, represent new dietary insights. Even with modest sample sizes, a spatial analysis of taxa and operational taxonomic units found within the scat shows significant differences in diet between many of the sample locations and identifies the primary taxa that are driving this variance. This study provides new insights into the diet of this endangered predator and confirms the efficacy of DNA metabarcoding of scat as a noninvasive tool to more broadly define regional biodiversity."
"603","Molecular Identification of Gambierdiscus and Fukuyoa (Dinophyceae) from Environmental Samples.",2017,"28767092","Ciguatera Fish Poisoning (CFP) is increasing across the Pacific and the distribution of the causative dinoflagellates appears to be expanding. Subtle differences in thecal plate morphology are used to distinguish dinoflagellate species, which are difficult to determine using light microscopy. For these reasons we sought to develop a Quantitative PCR assay that would detect all species from both Gambierdiscus and Fukuyoa genera in order to rapidly screen environmental samples for potentially toxic species. Additionally, a specific assay for F. paulensis was developed as this species is of concern in New Zealand coastal waters. Using the assays we analyzed 31 samples from three locations around New Zealand and the Kingdom of Tonga. Fourteen samples in total were positive for Gambierdiscus/Fukuyoa and two samples were also positive using the F. paulensis assay. Samples from the Kermadec Islands were further characterized using high-throughput sequencing metabarcoding. The majority of reads corresponded to Gambierdiscus species with three species identified at all sites (G. australes, G. honu and G. polynesiensis). This is the first confirmed identification of G. polynesiensis, a known ciguatoxin producer, in New Zealand waters. Other known toxin-producing genera were also detected, included Alexandrium, Amphidinium, Azadinium, Dinophysis, Ostreopsis, and Prorocentrum."
"604","Viral to metazoan marine plankton nucleotide sequences from the Tara Oceans expedition.",2017,"28763055","A unique collection of oceanic samples was gathered by the Tara Oceans expeditions (2009-2013), targeting plankton organisms ranging from viruses to metazoans, and providing rich environmental context measurements. Thanks to recent advances in the field of genomics, extensive sequencing has been performed for a deep genomic analysis of this huge collection of samples. A strategy based on different approaches, such as metabarcoding, metagenomics, single-cell genomics and metatranscriptomics, has been chosen for analysis of size-fractionated plankton communities. Here, we provide detailed procedures applied for genomic data generation, from nucleic acids extraction to sequence production, and we describe registries of genomics datasets available at the European Nucleotide Archive (ENA, www.ebi.ac.uk/ena). The association of these metadata to the experimental procedures applied for their generation will help the scientific community to access these data and facilitate their analysis. This paper complements other efforts to provide a full description of experiments and open science resources generated from the Tara Oceans project, further extending their value for the study of the world's planktonic ecosystems."
"605","Carrion fly-derived DNA metabarcoding is an effective tool for mammal surveys: Evidence from a known tropical mammal community.",2017,"28758342","Metabarcoding of vertebrate DNA derived from carrion flies has been proposed as a promising tool for biodiversity monitoring. To evaluate its efficacy, we conducted metabarcoding surveys of carrion flies on Barro Colorado Island (BCI), Panama, which has a well-known mammal community, and compared our results against diurnal transect counts and camera trapping. We collected 1,084 flies in 29 sampling days, conducted metabarcoding with mammal-specific (16S) and vertebrate-specific (12S) primers, and sequenced amplicons on Illumina MiSeq. For taxonomic assignment, we compared blast with the new program protax, and we found that protax improved species identifications. We detected 20 mammal, four bird, and one lizard species from carrion fly metabarcoding, all but one of which are known from BCI. Fly metabarcoding detected more mammal species than concurrent transect counts (29 sampling days, 13 species) and concurrent camera trapping (84 sampling days, 17 species), and detected 67% of the number of mammal species documented by 8 years of transect counts and camera trapping combined, although fly metabarcoding missed several abundant species. This study demonstrates that carrion fly metabarcoding is a powerful tool for mammal biodiversity surveys and has the potential to detect a broader range of species than more commonly used methods."
"606","PCR cycles above routine numbers do not compromise high-throughput DNA barcoding results.",2017,"28753409","High-throughput DNA barcoding has become essential in ecology and evolution, but some technical questions still remain. Increasing the number of PCR cycles above the routine 20-30 cycles is a common practice when working with old-type specimens, which provide little amounts of DNA, or when facing annealing issues with the primers. However, increasing the number of cycles can raise the number of artificial mutations due to polymerase errors. In this work, we sequenced 20 COI libraries in the Illumina MiSeq platform. Libraries were prepared with 40, 45, 50, 55, and 60 PCR cycles from four individuals belonging to four species of four genera of cephalopods. We found no relationship between the number of PCR cycles and the number of mutations despite using a nonproofreading polymerase. Moreover, even when using a high number of PCR cycles, the resulting number of mutations was low enough not to be an issue in the context of high-throughput DNA barcoding (but may still remain an issue in DNA metabarcoding due to chimera formation). We conclude that the common practice of increasing the number of PCR cycles should not negatively impact the outcome of a high-throughput DNA barcoding study in terms of the occurrence of point mutations."
"607","Diversity and stability of coral endolithic microbial communities at a naturally high pCO2 reef.",2017,"28748644","The health and functioning of reef-building corals is dependent on a balanced association with prokaryotic and eukaryotic microbes. The coral skeleton harbours numerous endolithic microbes, but their diversity, ecological roles and responses to environmental stress, including ocean acidification (OA), are not well characterized. This study tests whether pH affects the diversity and structure of prokaryotic and eukaryotic algal communities associated with skeletons of Porites spp. using targeted amplicon (16S rRNA gene, UPA and tufA) sequencing. We found that the composition of endolithic communities in the massive coral Porites spp. inhabiting a naturally high pCO2 reef (avg. pCO2 811 μatm) is not significantly different from corals inhabiting reference sites (avg. pCO2 357 μatm), suggesting that these microbiomes are less disturbed by OA than previously thought. Possible explanations may be that the endolithic microhabitat is highly homeostatic or that the endolithic micro-organisms are well adapted to a wide pH range. Some of the microbial taxa identified include nitrogen-fixing bacteria (Rhizobiales and cyanobacteria), algicidal bacteria in the phylum Bacteroidetes, symbiotic bacteria in the family Endozoicomoniaceae, and endolithic green algae, considered the major microbial agent of reef bioerosion. Additionally, we test whether host species has an effect on the endolithic community structure. We show that the endolithic community of massive Porites spp. is substantially different and more diverse than that found in skeletons of the branching species Seriatopora hystrix and Pocillopora damicornis. This study reveals highly diverse and structured microbial communities in Porites spp. skeletons that are possibly resilient to OA."
"608","Influence of Host Plant on Thaumetopoea pityocampa Gut Bacterial Community.",2018,"28735425","Microbial communities associated to the gut of insects are attracting an increasing interest, mainly because of their role in influencing several host life-traits. The characterization of the gut microbial community is pivotal for understanding insect ecology and, thus, to develop novel pest management strategies. The pine processionary moth, Thaumetopoea pytiocampa (Denis & Schiff.) (Lepidoptera: Thaumetopoeidae), is a severe defoliator of pine forests, able to feed on several pine species. In this work, we performed a metabarcoding analysis to investigate, for the first time, the diversity of the gut bacterial community of pine processionary larvae associated with three different host pine species (Pinus halepensis, Pinus nigra subsp. laricio, and Pinus pinaster). We found that the gut microbial community of T. pityocampa larvae collected on P. halapensis was different from that associated with larvae collected from P. nigra and P. pinaster. Moreover, the high presence of bacteria belonging to the genera Modestobacter, Delftia, and unidentified Methylobacteriaceae retrieved in larvae feeding on P. halapensis suggested that specific interactions can occur. Our results provide the evidence that different host plant differently impact on the microbiota diversity of T. pityocampa larvae, contributing to the general knowledge of this pest with information that could be useful in shaping the next generation of pest control strategies."
"609","High occurrence of jellyfish predation by black-browed and Campbell albatross identified by DNA metabarcoding.",2017,"28734075","Gelatinous zooplankton are a large component of the animal biomass in all marine environments, but are considered to be uncommon in the diet of most marine top predators. However, the diets of key predator groups like seabirds have conventionally been assessed from stomach content analyses, which cannot detect most gelatinous prey. As marine top predators are used to identify changes in the overall species composition of marine ecosystems, such biases in dietary assessment may impact our detection of important ecosystem regime shifts. We investigated albatross diet using DNA metabarcoding of scats to assess the prevalence of gelatinous zooplankton consumption by two albatross species, one of which is used as an indicator species for ecosystem monitoring. Black-browed and Campbell albatross scats were collected from eight breeding colonies covering the circumpolar range of these birds over two consecutive breeding seasons. Fish was the main dietary item at most sites; however, cnidarian DNA, primarily from scyphozoan jellyfish, was present in 42% of samples overall and up to 80% of samples at some sites. Jellyfish was detected during all breeding stages and consumed by adults and chicks. Trawl fishery catches of jellyfish near the Falkland Islands indicate a similar frequency of jellyfish occurrence in albatross diets in years of high and low jellyfish availability, suggesting jellyfish consumption may be selective rather than opportunistic. Warmer oceans and overfishing of finfish are predicted to favour jellyfish population increases, and we demonstrate here that dietary DNA metabarcoding enables measurements of the contribution of gelatinous zooplankton to the diet of marine predators."
"610","Revealing higher than expected meiofaunal diversity in Antarctic sediments: a metabarcoding approach.",2017,"28733608","An increasing number of studies are showing that Antarctic mega- and macrofauna are highly diverse, however, little is known about meiofaunal biodiversity in sediment communities, which are a vital part of a healthy and functional ecosystem. This is the first study to analyse community DNA (targeting meiofauna) using metabarcoding to investigate biodiversity levels in sediment communities of the Antarctic Peninsula. The results show that almost all of the meiofaunal biodiversity in the benthic habitat has yet to be characterised, levels of biodiversity were higher than expected and similar to temperate regions, albeit with the existence of potentially new and locally adapted species never described before at the molecular level. The Rothera meiofaunal sample sites showed four dominant eukaryotic groups, the nematodes, arthropods, platyhelminthes, and the annelids; some of which could comprise species complexes. Comparisons with deep-sea data from the same region suggest little exchange of Operational Taxonomic Units (OTUs) between depths with the nematodes prevalent at all depths, but sharing the shallow water benthos with the copepods. This study provides a preliminary analysis of benthic Antarctic Peninsula meiofauna using high throughput sequencing which substantiates how little is known on the biodiversity of one of the most diverse, yet underexplored communities of the Antarctic: the benthos."
"611","Small subunit ribosomal metabarcoding reveals extraordinary trypanosomatid diversity in Brazilian bats.",2017,"28727769","Bats are a highly successful, globally dispersed order of mammals that occupy a wide array of ecological niches. They are also intensely parasitized and implicated in multiple viral, bacterial and parasitic zoonoses. Trypanosomes are thought to be especially abundant and diverse in bats. In this study, we used 18S ribosomal RNA metabarcoding to probe bat trypanosome diversity in unprecedented detail."
"612","Small subunit ribosomal metabarcoding reveals extraordinary trypanosomatid diversity in Brazilian bats.",2017,"28727769","Total DNA was extracted from the blood of 90 bat individuals (17 species) captured along Atlantic Forest fragments of Espírito Santo state, southeast Brazil. 18S ribosomal RNA was amplified by standard and/or nested PCR, then deep sequenced to recover and identify Operational Taxonomic Units (OTUs) for phylogenetic analysis. Blood samples from 34 bat individuals (13 species) tested positive for infection by 18S rRNA amplification. Amplicon sequences clustered to 14 OTUs, of which five were identified as Trypanosoma cruzi I, T. cruzi III/V, Trypanosoma cruzi marinkellei, Trypanosoma rangeli, and Trypanosoma dionisii, and seven were identified as novel genotypes monophyletic to basal T. cruzi clade types of the New World. Another OTU was identified as a trypanosome like those found in reptiles. Surprisingly, the remaining OTU was identified as Bodo saltans-closest non-parasitic relative of the trypanosomatid order. While three blood samples featured just one OTU (T. dionisii), all others resolved as mixed infections of up to eight OTUs."
"613","Small subunit ribosomal metabarcoding reveals extraordinary trypanosomatid diversity in Brazilian bats.",2017,"28727769","This study demonstrates the utility of next-generation barcoding methods to screen parasite diversity in mammalian reservoir hosts. We exposed high rates of local bat parasitism by multiple trypanosome species, some known to cause fatal human disease, others non-pathogenic, novel or yet little understood. Our results highlight bats as a long-standing nexus among host-parasite interactions of multiple niches, sustained in part by opportunistic and incidental infections of consequence to evolutionary theory as much as to public health."
